latitude;longitude;temperature_celsius
34.52;69.18;28.8
41.33;19.82;27.0
36.76;3.05;28.0
42.5;1.52;10.2
-8.84;13.23;25.0
17.12;-61.85;29.0
-34.59;-58.67;9.0
40.18;44.51;31.0
-35.28;149.22;13.0
48.2;16.37;16.0
40.4;49.88;31.0
25.08;-77.35;29.8
26.24;50.58;38.0
23.72;90.41;34.0
13.1;-59.62;27.0
53.9;27.57;22.0
50.83;4.33;16.0
17.25;-88.77;23.6
6.48;2.62;28.0
27.48;89.6;17.1
-19.04;-65.26;10.8
43.85;18.38;23.0
-24.65;25.91;18.4
-2.08;-58.17;23.8
4.88;114.93;31.0
42.68;23.32;28.0
12.37;-1.52;28.0
-3.38;29.36;28.9
-24.37;46.45;22.9
14.93;-23.51;28.0
11.55;104.92;30.0
5.47;10.42;23.9
45.42;-75.7;11.0
4.37;18.58;26.3
12.11;15.05;32.0
-33.45;-70.67;5.0
39.93;116.39;28.0
43.32;24.7;36.4
-11.7;43.24;24.0
-4.26;15.28;31.1
9.97;-84.08;21.0
45.8;16.0;23.0
23.13;-82.36;26.0
35.17;33.37;35.0
50.08;14.47;13.0
-4.3;15.3;31.1
55.67;12.58;17.0
11.6;43.15;42.0
15.3;-61.4;28.2
18.47;-69.9;26.0
-0.22;-78.5;8.9
30.05;31.25;31.0
13.71;-89.2;26.0
3.75;8.78;25.9
15.33;38.93;25.1
59.43;24.73;19.0
-26.32;31.13;20.0
9.03;38.7;17.0
-18.13;178.42;24.0
60.18;24.93;20.0
48.87;2.33;18.0
0.38;9.45;27.0
13.45;-16.58;27.0
41.73;44.79;30.0
52.52;13.4;16.0
5.55;-0.22;26.0
37.98;23.72;32.0
12.05;-61.75;26.0
14.62;-90.53;17.0
9.51;-13.71;25.0
11.85;-15.58;28.0
6.8;-58.17;24.0
18.54;-72.34;27.0
41.9;12.45;21.0
14.1;-87.22;21.0
47.5;19.08;20.0
63.83;-20.4;11.0
28.6;77.2;34.0
-6.21;106.85;31.0
35.73;51.33;33.0
33.34;44.39;37.0
53.33;-6.25;14.0
31.78;35.23;30.0
41.9;12.48;21.0
17.97;-76.75;30.0
35.69;139.69;32.0
31.95;35.93;27.0
51.18;71.43;22.0
-1.28;36.82;21.0
-0.88;169.53;28.9
29.37;47.96;39.6
42.87;74.6;27.4
-8.18;114.32;27.9
56.95;24.1;16.0
33.87;35.51;30.0
-29.32;27.48;18.9
6.31;-10.8;25.0
18.78;100.78;33.0
47.13;9.52;12.0
54.68;25.32;17.0
49.61;6.13;16.0
-18.92;47.52;21.0
-13.98;33.78;18.0
3.17;101.7;27.0
6.15;73.27;25.3
12.65;-8.0;23.0
35.9;14.51;28.0
7.1;171.38;29.0
18.09;-15.98;28.6
-20.16;57.5;26.0
19.43;-99.13;16.0
6.92;158.15;26.0
51.7;94.45;36.5
43.73;7.42;22.0
47.92;106.92;26.0
42.44;19.26;25.0
34.03;-6.84;24.0
-25.97;32.59;21.0
16.78;94.73;30.0
-22.57;17.08;20.0
39.55;27.62;28.0
27.72;85.32;28.0
52.37;4.89;19.0
-41.3;174.78;9.0
12.15;-86.27;25.0
13.52;2.12;30.0
9.18;7.18;28.0
39.02;125.75;22.0
42.0;21.43;30.0
59.92;10.75;12.0
23.61;58.59;33.0
33.7;73.17;31.9
7.36;134.51;29.0
-11.18;-67.08;22.5
8.97;-79.53;27.0
-9.46;147.19;24.4
-21.55;-58.12;22.8
-12.05;-77.05;16.2
14.6;120.98;27.0
52.25;21.0;22.0
38.72;-9.13;21.0
25.29;51.53;38.0
44.43;26.1;35.0
55.75;37.62;16.0
-1.95;30.06;26.0
17.3;-62.72;28.0
14.0;-61.0;27.0
13.13;-61.22;28.8
-13.83;-171.73;26.0
43.93;12.45;21.0
51.27;4.55;17.0
24.64;46.77;42.0
14.67;-17.44;27.0
44.8;20.47;24.0
-4.62;55.45;26.3
8.49;-13.23;24.0
1.29;103.86;31.0
48.15;17.12;19.0
46.06;14.51;16.0
-9.43;159.95;27.0
2.07;45.37;29.0
-25.75;28.19;18.0
37.57;127.0;23.0
12.15;24.45;31.2
40.4;-3.68;20.0
6.93;79.85;31.0
15.59;32.53;30.4
5.83;-55.17;25.0
59.33;18.05;18.0
46.92;7.47;14.0
33.5;36.3;32.0
38.56;68.77;32.0
-6.18;35.75;23.0
13.75;100.52;33.0
-7.56;112.27;33.5
43.81;23.24;31.3
-21.13;-175.2;21.0
10.65;-61.52;26.0
36.8;10.18;29.0
39.93;32.86;28.0
37.95;58.38;35.0
-8.52;179.22;29.0
0.32;32.57;25.0
49.83;24.0;29.4
24.47;54.37;45.0
51.52;-0.11;18.0
46.6;-120.49;23.3
-34.86;-56.17;7.0
41.32;69.25;31.0
-17.73;168.32;22.0
10.5;-66.92;25.0
21.03;105.85;30.0
15.35;44.21;25.3
-15.42;28.28;19.8
-17.82;31.04;19.0
